"name","slug","price","category","brand","description","sku"
"Bobcat 5000 Hydraulic Pump","bobcat-5000-hydraulic-pump",1299.99,"hydraulics","Bobcat","Heavy-duty hydraulic pump for construction equipment","BC-5000"
"Case IH Magnum Transmission","case-ih-magnum-transmission",8999.99,"transmissions","Case IH","Heavy-duty transmission for agricultural equipment","CIH-MAG"
"Caterpillar 3000 Radiator","caterpillar-3000-radiator",899.99,"cooling","Caterpillar","Industrial-grade radiator for heavy machinery","CAT-3000"
"Claas Lexion Combine Sensor","claas-lexion-sensor",599.99,"sensors","Claas","Yield monitoring sensor for combines","CLA-LEX"
"Cummins ISX Turbocharger","cummins-isx-turbocharger",1899.99,"engines","Cummins","Heavy-duty turbocharger for diesel engines","CM-ISX"
"Curtis 1234 Controller","curtis-1234-controller",599.99,"controllers","Curtis","High-performance motor controller for electric vehicles","CT-1234"
"Deutz TCD 3.6 Injector","deutz-tcd-3-6-injector",449.99,"fuel-systems","Deutz","Fuel injector for diesel engines","DEU-TCD"
"Doosan DL200 Fuel Pump","doosan-dl200-fuel-pump",899.99,"fuel-systems","Doosan","High-pressure fuel injection pump","DOO-DL200"
"Fendt 1000 Vario Pump","fendt-1000-vario-pump",2499.99,"hydraulics","Fendt","Variable displacement pump for tractors","FEN-1000"
"Hitachi ZX200 Hydraulic Pump","hitachi-zx200-hydraulic-pump",1599.99,"hydraulics","Hitachi","High-pressure hydraulic pump for excavators","HIT-ZX200"
"JCB 3CX Water Pump","jcb-3cx-water-pump",349.99,"cooling","JCB","Coolant pump for backhoe loaders","JCB-3CX"
"John Deere 2000 Starter","john-deere-2000-starter",449.99,"electrical","John Deere","High-torque starter motor for agricultural equipment","JD-2000"
"Komatsu 4000 Alternator","komatsu-4000-alternator",799.99,"electrical","Komatsu","Heavy-duty alternator for mining equipment","KM-4000"
"Kubota M8X Hydraulic Valve","kubota-m8x-hydraulic-valve",799.99,"hydraulics","Kubota","Control valve for tractor hydraulics","KUB-M8X"
"Liebherr R944 Track","liebherr-r944-track",2999.99,"undercarriage","Liebherr","Heavy-duty track assembly for excavators","LIE-R944"
"Massey Ferguson 8S Filter Kit","massey-ferguson-8s-filter-kit",299.99,"filters","Massey Ferguson","Complete filter kit for tractors","MF-8S"
"New Holland T7.315 ECU","new-holland-t7-ecu",1299.99,"electrical","New Holland","Engine control unit for tractors","NH-T7"
"Volvo Penta Marine Engine","volvo-penta-marine-engine",24999.99,"engines","Volvo Penta","High-performance marine diesel engine","VP-6000"
"Yanmar 4TNV98 Engine Block","yanmar-4tnv98-engine-block",4999.99,"engines","Yanmar","Complete engine block for compact tractors","YAN-4TNV"
