brand,model_pattern,code,title,meaning,severity,likely_causes,checks,fixes,provenance
jcb,,P0087,Fuel Rail Pressure Too Low,Fuel rail/system pressure below spec — hard start; power loss; limp mode common,stop,"clogged fuel filter|weak lift pump|air in fuel|failing rail pressure sensor|SCV/fuel metering issue","replace primary fuel filter first|verify lift pump primes at key-on|inspect suction lines for air leaks|check rail pressure sensor connector","replace fuel filter|bleed fuel system|test/replace lift pump|diagnose SCV/rail sensor per service manual","Field starter; confirm with official procedures"
jcb,,P0191,Fuel Rail Pressure Sensor Range/Performance,ECU sees erratic fuel rail pressure readings,fault,"failing rail pressure sensor|clogged fuel filter|weak lift pump|wiring/5V reference issue","check fuel filter age|wiggle-test sensor connector|verify 5V reference and ground|compare commanded vs actual rail pressure if tool available","replace fuel filter|repair harness|replace rail pressure sensor","Field starter; confirm with official procedures"
jcb,,P2201,NOx Sensor Signal Out of Range,NOx sensor bank 1 signal out of range — common regen/DEF trigger,fault,"dirty or failed NOx sensor|damaged NOx wiring|exhaust leaks upstream of sensor","inspect NOx connector for corrosion|check harness near heat shields|look for exhaust leaks before sensor","repair harness|replace NOx sensor|clear codes after repair and verify regen completes","Field starter; confirm with official procedures"
jcb,,P20EE,SCR NOx Catalyst Efficiency Below Threshold,SCR system reports poor NOx conversion efficiency,fault,"failed NOx sensor|clogged DEF injector|poor DEF quality|crystallized DEF lines","verify DEF level and freshness (32.5% urea)|inspect DEF injector for crystals|check NOx sensors before condemning catalyst","replace DEF|clean/replace DEF injector|replace NOx sensor|dealer laptop may be needed for forced regen","Field starter; confirm with official procedures"
jcb,,P1C54,SCR Inducement Engine Derate,Emissions inducement has cut engine power — usually secondary to another SCR/DEF fault,stop,"unresolved DEF/SCR fault (P20EE/P2201/etc)|low DEF|failed NOx or DEF pump","read active codes first — fix root SCR/DEF code|check DEF level/quality|confirm no active NOx communication faults","repair root emissions fault|top off fresh DEF|complete parked regen if required|clear inducement after repair","Field starter; confirm with official procedures"
jcb,,U029D,Lost Communication With NOx Sensor A,ECU cannot communicate with NOx sensor A,fault,"open/short in NOx harness|failed NOx sensor|connector corrosion|low system voltage","check battery voltage first|inspect NOx connector pins|continuity-test power/ground/CAN lines to sensor","repair wiring|clean/replace connector|replace NOx sensor","Field starter; confirm with official procedures"
jcb,,U0073,CAN Bus Off,Control module communication bus A off — multiple random electrical codes possible,fault,"weak battery|poor ground|damaged CAN harness|single module flooding bus","load-test battery (12.6V+ resting)|clean main grounds|inspect harness at boom/frame pivots|scan for module-specific U-codes","charge/replace battery|repair CAN wiring|isolate failing module","Field starter; confirm with official procedures"
jcb,,P0107,Atmospheric Pressure Sensor Low,Barometric/atmospheric pressure sensor circuit low,fault,"failed MAP/baro sensor|open circuit|connector corrosion","inspect sensor connector|check 5V reference|compare baro reading to local altitude expectation","repair harness|replace atmospheric pressure sensor","Field starter; confirm with official procedures"
jcb,,P0117,Coolant Temperature Sensor Low,Engine coolant temperature sensor circuit low / implausible cold reading,fault,"failed ECT sensor|open circuit|thermostat stuck open (related symptom)","check coolant level|inspect ECT connector|compare gauge vs scan tool temp","repair harness|replace coolant temperature sensor|replace thermostat if confirmed","Field starter; confirm with official procedures"
jcb,,E485,AdBlue / DEF Quality,DEF quality out of range,warn,"old or contaminated DEF|DEF quality sensor fault|wrong fluid in tank","confirm DEF is 32.5% urea|drain/replace contaminated fluid|inspect quality sensor connector","replace DEF|service/replace quality sensor|flush crystallized lines if needed","Field starter; confirm with official procedures"
jcb,,E412,Throttle Position Fault,Throttle position sensor out of range,fault,"worn TP sensor|5V reference issue|binding throttle linkage","sweep TP volts through pedal/lever travel|verify 5V and ground|inspect linkage for binding","replace TP sensor|repair harness|free/lubricate linkage per manual","Field starter; confirm with official procedures"
jcb,535%,E524,Transmission Pressure Low,Main transmission pressure below spec,stop,"low transmission oil|suction leak|worn charge pump|pressure sensor fault","check oil level/grade hot and cold|inspect suction for air|compare pressure to spec if gauge available","top up correct oil|fix suction leak|replace pump or sensor as diagnosed","Field starter; confirm with official procedures"
jcb,540%,E105,Coolant Temp High,Engine over-temperature warning,fault,"blocked radiator|failed fan/relay|low coolant|failed temp sensor","infrared scan radiator core|verify fan command|check coolant level and cap","clean radiator core|replace fan/relay|repair cooling system leaks","Field starter; confirm with official procedures"
