id,name,slug,price,category,brand,description,sku,created_at,updated_at,image_url,price_cents,stripe_price_id,has_core_charge,core_charge,category_slug,featured,stripe_product_id,brand_logo_url
,GREEN2 24V 70A,green2-24v-70a,0.00,Battery Chargers,FSIP,"GREEN2 24V 70A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-24V-70A,2025-08-11T15:17:35.342Z,2025-08-11T15:17:35.342Z,,0,,,0.00,battery-chargers,,,
,GREEN2 24V 45A,green2-24v-45a,0.00,Battery Chargers,FSIP,"GREEN2 24V 45A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-24V-45A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 24V 40A,green2-24v-40a,0.00,Battery Chargers,FSIP,"GREEN2 24V 40A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-24V-40A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 24V 20A,green2-24v-20a,0.00,Battery Chargers,FSIP,"GREEN2 24V 20A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-24V-20A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 36V 70A,green2-36v-70a,0.00,Battery Chargers,FSIP,"GREEN2 36V 70A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-36V-70A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 36V 45A,green2-36v-45a,0.00,Battery Chargers,FSIP,"GREEN2 36V 45A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-36V-45A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 36V 40A,green2-36v-40a,0.00,Battery Chargers,FSIP,"GREEN2 36V 40A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-36V-40A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 36V 20A,green2-36v-20a,0.00,Battery Chargers,FSIP,"GREEN2 36V 20A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-36V-20A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 48V 70A,green2-48v-70a,0.00,Battery Chargers,FSIP,"GREEN2 48V 70A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-48V-70A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 48V 45A,green2-48v-45a,0.00,Battery Chargers,FSIP,"GREEN2 48V 45A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-48V-45A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 48V 40A,green2-48v-40a,0.00,Battery Chargers,FSIP,"GREEN2 48V 40A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-48V-40A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 48V 20A,green2-48v-20a,0.00,Battery Chargers,FSIP,"GREEN2 48V 20A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-48V-20A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 80V 70A,green2-80v-70a,0.00,Battery Chargers,FSIP,"GREEN2 80V 70A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-80V-70A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 80V 45A,green2-80v-45a,0.00,Battery Chargers,FSIP,"GREEN2 80V 45A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-80V-45A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 80V 40A,green2-80v-40a,0.00,Battery Chargers,FSIP,"GREEN2 80V 40A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-80V-40A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN2 80V 20A,green2-80v-20a,0.00,Battery Chargers,FSIP,"GREEN2 80V 20A industrial battery charger. Input phase: 1P. Input voltage options: 110-120. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN2-80V-20A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN4 24V 120A,green4-24v-120a,0.00,Battery Chargers,FSIP,"GREEN4 24V 120A industrial battery charger. Input phase: 1P. Input voltage options: 208-240. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN4-24V-120A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN4 24V 90A,green4-24v-90a,0.00,Battery Chargers,FSIP,"GREEN4 24V 90A industrial battery charger. Input phase: 1P. Input voltage options: 208-240. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN4-24V-90A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN4 24V 75A,green4-24v-75a,0.00,Battery Chargers,FSIP,"GREEN4 24V 75A industrial battery charger. Input phase: 1P. Input voltage options: 208-240. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN4-24V-75A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN4 24V 40A,green4-24v-40a,0.00,Battery Chargers,FSIP,"GREEN4 24V 40A industrial battery charger. Input phase: 1P. Input voltage options: 208-240. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN4-24V-40A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
,GREEN4 24V 35A,green4-24v-35a,0.00,Battery Chargers,FSIP,"GREEN4 24V 35A industrial battery charger. Input phase: 1P. Input voltage options: 208-240. Supported chemistries: Lead-acid, AGM, Gel, Lithium. GREEN Series by FSIP.",GREEN4-24V-35A,2025-08-11T15:17:35.343Z,2025-08-11T15:17:35.343Z,,0,,,0.00,battery-chargers,,,
