slug,url,source,words,published,clicks_90d,impr_90d,pos_90d,clicks_prev90,action,redirect_target,rationale
jcb-telehandler-cabin-filter-location,/insights/jcb-telehandler-cabin-filter-location,legacy,1104,2024-07-27,122,3946,6,57,KEEP,,"Earns clicks. Leave alone."
e43-code-nissan-forklift,/insights/e43-code-nissan-forklift,legacy,1474,2024-10-24,55,8148,8.1,21,KEEP,,"Earns clicks. Leave alone."
jcb-telehandler-serial-number-location-2,/insights/jcb-telehandler-serial-number-location-2,legacy,1514,2024-07-24,31,1389,8,23,KEEP,,"Earns clicks. Leave alone."
cat-p5000-e31-error-code,/insights/cat-p5000-e31-error-code,legacy,1728,2024-10-19,26,1855,6.5,7,KEEP,,"Earns clicks. Leave alone."
jcb-3cx-serial-numbers,/insights/jcb-3cx-serial-numbers,legacy,1209,2024-02-19,15,503,17.6,9,KEEP,,"Earns clicks. Leave alone."
jcb-excavator-serial-number-location,/insights/jcb-excavator-serial-number-location,legacy,1118,2024-07-24,10,1422,10.9,15,KEEP,,"Earns clicks. Leave alone."
hyster-serial-number-lookup,/insights/hyster-serial-number-lookup,legacy,1377,2024-07-27,9,1604,22.5,9,KEEP,,"518 impr/28d at pos 24 — outranks /brand/hyster/serial-lookup (77 impr). Keep; consider pointing brand hub here instead of vice versa."
john-deere-skid-steer-serial-number-lookup,/insights/john-deere-skid-steer-serial-number-lookup,legacy,794,2024-09-07,9,305,19.9,10,KEEP,,"Small but real traffic. Low-priority clean."
hyster-forklift-fault-codes-list,/insights/hyster-forklift-fault-codes-list,legacy,1220,2024-07-27,8,1624,12.7,16,KEEP,,"Small but real traffic. Low-priority clean."
john-deere-skid-steer-product-identification-number-lookup,/insights/john-deere-skid-steer-product-identification-number-lookup,legacy,3718,2024-09-10,4,1417,11.6,8,KEEP,,"Small but real traffic. Low-priority clean."
forks-lumber-wyoming-2,/insights/forks-lumber-wyoming-2,legacy,787,2024-02-24,1,109,12.3,2,KEEP,,"Earns clicks (1/28d, 33 impr); WY is HQ. Low priority clean."
jcb-js-excavator-slew-motor-gearbox-oil-leak-repair,/insights/jcb-js-excavator-slew-motor-gearbox-oil-leak-repair,outrank,4268,2026-01-08,0,70,16.3,3,KEEP,,"70 impr at pos 16; JCB fault cluster performs — clean only."
hyster-h-50-ft-service-manual-pdf,/insights/hyster-h-50-ft-service-manual-pdf,outrank,4597,2026-02-01,0,58,9.2,2,KEEP,,"58 impr/90d at pos 9 with 0 clicks — title promises a PDF we do not host. Retitle honestly (specs/fluid capacities) or expect zero CTR."
jcb-immobilizer-bypass-keypad-code-reset-procedure,/insights/jcb-immobilizer-bypass-keypad-code-reset-procedure,outrank,3993,2026-01-15,42,1738,7.8,31,KEEP+CLEAN,,"Earns clicks. Strip persona leak / ""blunt"" opener, trim ~30%, CTA → real PN pages."
jcb-p-0087-fuel-rail-pressure-too-low-scv-valve-diagnosis,/insights/jcb-p-0087-fuel-rail-pressure-too-low-scv-valve-diagnosis,outrank,1037,2025-12-12,16,1117,6.4,9,KEEP+CLEAN,,"Earns clicks. Strip persona leak / ""blunt"" opener, trim ~30%, CTA → real PN pages."
jcb-service-master-fault-codes-list-and-manual-reset,/insights/jcb-service-master-fault-codes-list-and-manual-reset,outrank,4777,2025-12-14,14,613,7.8,15,KEEP+CLEAN,,"Earns clicks. Strip persona leak / ""blunt"" opener, trim ~30%, CTA → real PN pages."
clear-limp-mode-case-backhoe-without-dealer,/insights/clear-limp-mode-case-backhoe-without-dealer,outrank,3020,2026-01-18,14,357,6.8,5,KEEP+CLEAN,,"Earns clicks. Strip persona leak / ""blunt"" opener, trim ~30%, CTA → real PN pages."
troubleshooting-jcb-535-125-hydraulic-functions-cutting-out,/insights/troubleshooting-jcb-535-125-hydraulic-functions-cutting-out,outrank,4408,2025-12-13,12,292,9.9,6,KEEP+CLEAN,,"Earns clicks. Strip persona leak / ""blunt"" opener, trim ~30%, CTA → real PN pages."
